draw,pi_theta,pi_a,q0,q2_0,H,c_e_star,W_status_quo,W_full_arch,gain_pct
69,0.1942696215066869,0.11719695464728297,0.07359121516562424,0.4180156593354374,128.74638746315023,34.96360225845958,158.94483186485147,221.32203274210903,39.24456060974415
70,0.16331822004927904,0.3417409863820365,0.00169207450165279,0.47812176913191323,50.051874416570556,23.089499790827894,173.02769599702066,221.74204456012632,28.154075728977208
71,0.380293553979313,0.026588792119975866,0.13225896038769938,0.436546226814262,125.23289144335527,25.125358131724415,172.4756860615705,228.24241049418103,32.33309326434734
72,0.811131952474517,0.030816126293599054,0.001187181585540802,0.42540255136037314,115.35398256936433,23.461885216037516,190.50420558739455,243.47590916610585,27.806054682824477
74,0.13912903305233548,0.24714485234222244,0.05210825795275136,0.44120787663481514,71.22771388407429,36.83534493156343,157.86691535038867,220.32116179274092,39.56132689597048
75,0.4720404348901676,0.05963926851521101,0.007550076243547623,0.3635110224899748,92.27340342720623,15.284148975192396,191.3387700596411,234.20338535052895,22.40247247200699
76,0.47347523796422386,0.002723756408617921,0.07812001504537963,0.4775067844498941,111.9569256310312,13.659068926288686,188.80963202193317,231.16248350328308,22.43150999649741
77,0.42829878546252215,0.1120213283445968,0.08740353120572736,0.1751508243371584,108.47527028049366,13.841578316433608,189.33543907050137,233.91399170611658,23.54474833367875
78,0.2924949130694071,0.0856036943367611,0.02534478858451213,0.23027818690496327,106.79342304284926,23.854537343492446,176.79835979860906,227.47472332991694,28.66336745942288
79,0.5416837346654938,0.09671224380668002,0.12763274829878615,0.31724192121828615,142.75048596250497,27.921835872215222,169.71957557245057,234.72266536224473,38.30029009355222
80,0.30582098048740286,0.019694847641175278,0.03899286112401994,0.8726467611066456,50.54731088346275,33.59949137480798,167.2733857485618,226.71745579059132,35.53707589286398
81,0.05972723056101139,0.060115372746438876,0.07741261684557614,0.22649964776079243,137.81474246555373,21.233918093468134,171.74683618840803,217.04878779250674,26.377168051236776
82,0.8985726463272892,0.1635809085516617,0.023343185345217204,0.24465389602731027,102.04574437672277,23.91027144044503,190.43891493819066,252.68541705461297,32.68581011219539
83,0.667903588042507,0.09026622884818628,0.04342530364998717,0.6897363338180645,90.49940614958173,34.26908807520247,169.1117367592983,236.2214642220014,39.68366048905425
84,0.5813558908376095,0.20464153731790713,0.0018480969962612567,0.8051753562335638,140.2989153406137,11.353442371278357,173.22681639746008,216.95965991242446,25.246000835472028
85,0.43245439657949347,0.038659271594551306,0.2106624312616715,0.42087774177185744,78.60473018403952,38.931195846744366,163.3767607639411,233.2198309026826,42.749696965565356
87,0.5876774213488752,0.22932865071678468,0.0029257319089645833,0.6946043850954442,147.71927299143573,17.09081306150634,167.16969347152718,222.26043665074937,32.95498247031565
88,0.39776058364798983,0.06039665415886211,0.0778827793843267,0.5515693045305845,59.057905853543936,16.777868737503475,187.43211710325778,231.60971869990394,23.569920822218734
89,0.5496239310013459,0.10503919846264739,0.22352897470956504,0.4366295599033934,68.79035790364767,13.219370884975614,191.7396048785181,238.39608335959437,24.333250561685873
90,0.11260216079015554,0.17625167662165547,0.02139129851452804,0.1481537737093932,139.67553715906985,24.266835196988044,169.4343725551924,219.22408093308997,29.38583690371257
91,0.33888583690669427,0.09722840182547848,0.07553420812254916,0.6836556061014093,131.21229611870592,25.172869442282238,166.5836218416258,222.46244653433553,33.54400875365452
92,0.34343276228562086,0.005481544569423799,0.19221662310355028,0.25872240573530625,138.28255660340778,32.81638068189601,165.28605285938622,229.21252843026082,38.67626727420175
93,0.39754918443626963,0.030280750795206604,0.039899110563336906,0.2791530478209871,131.5073096218754,23.447218995118213,179.63083391009408,230.96922876567055,28.57994573541396
94,0.15943261870343664,0.026509666203765228,0.07236190810424457,0.2846432130243394,73.59972626205527,32.89466469459701,164.50043769859738,222.0036244142483,34.956251497038544
95,0.2926251307032153,0.21535992080607191,0.03911179509222961,0.03933436557244116,105.21627033044271,35.09839123098079,164.118212639979,228.1532371030131,39.01762237900174
96,0.5882043196486407,0.11096023451349384,0.025811486946297913,0.06678070917131146,69.51855298186557,11.738360336143899,203.55419541005313,244.15579111619593,19.946332044079092
97,0.5077044485313338,0.012467666170730578,0.0469674262079146,0.367939157177144,146.45188861392018,17.93792816038475,185.23705466581887,232.31903711651384,25.417151301414446
99,0.8005015826220938,0.11127343243289928,0.13489361304061925,0.40589497696568166,74.58755870050587,31.894457389086,180.74108814166874,249.03823201159838,37.7872815595737
100,0.23116872143547346,0.028977478496308596,0.21156616139295834,0.44312750048936445,144.3798368103711,22.061433944712082,170.26806219455403,222.26389493187685,30.537631113643982
101,0.3628015371525988,0.03425731457124179,0.2124494681316414,0.6606901516861363,125.996688370073,13.848797755333605,177.08797167444953,223.80988819118292,26.383450030488145
